PROGRAM_ID,ORDER_ID,ITEM_ID,ITEM_PRICE,QUANTITY,CATEGORY,NEW_TO_FILE,COUPON,REASON
"8716","OR18769","UP859932005009","0","0","","0","CubaKnow",""
"8716","OR18769","GIFT-UP608940547632","0","0","","0","CubaKnow",""
"8716","OR18791","PP3700578518019","0","0","","0","",""
"8716","OR18791","up1111101090","0","0","","0","",""
"8716","OR18791","up1111101097","0","0","","0","",""
"8716","OR18791","PP3700578507013","0","0","","0","",""
"8716","OR18812","UP3355991002074","0","0","","0","FirstAroma",""
"8716","OR18824","up1111101077","0","0","","0","",""
"8716","OR18824","up1111101099","0","0","","0","",""
"8716","OR18826","up1111101081","0","0","","0","",""
"8716","OR18847","UP3700134406699","0","0","","0","",""
"8716","OR18848","UP3360377022928","0","0","","1","",""
"8716","OR18859","UP8011003823512","0","0","","0","",""
"8716","OR18859","UP3386460025478","0","0","","0","",""
"8716","OR18859","UP3607345969756","0","0","","0","",""
"8716","OR18859","GIFT-UP608940547632","0","0","","0","",""
"8716","OR18861","up1111101071","0","0","","0","FirstAroma",""
"8716","OR18861","UP1111101013","0","0","","0","FirstAroma",""
"8716","OR18861","PP3360374000059","0","0","","0","FirstAroma",""
"8716","OR18861","up1111101123","0","0","","0","FirstAroma",""
"8716","OR18867","UP940356617081","0","0","","0","FirstAroma",""
"8716","OR18893","UP085805004675","0","0","","1","FirstAroma",""
"8716","OR18913","UP8435137737819","0","0","","0","Enjoy10",""
"8716","OR18913","UP737052925172","0","0","","0","Enjoy10",""
"8716","OR18913","GIFT-UP737052355504","0","0","","0","Enjoy10",""
"8716","OR18921","PP5060103310029","0","0","","1","",""
"8716","OR18921","PP888066069403","0","0","","1","",""
"8716","OR18923","UP3386460028394","0","0","","1","Enjoy10",""
"8716","OR18923","UP3423470311365","0","0","","1","Enjoy10",""
"8716","OR18923","GIFT-UP737052355504","0","0","","1","Enjoy10",""
"8716","OR18923","UP3414206000608","0","0","","1","Enjoy10",""
"8716","OR18928","up1111101081","0","0","","0","",""
"8716","OR18957","PP3145891260502","0","0","","0","Enjoy10",""
"8716","OR18957","PP3607342221208","0","0","","0","Enjoy10",""
"8716","OR18957","P022548295700","0","0","","0","Enjoy10",""
"8716","OR18957","up1111101019","0","0","","0","Enjoy10",""
"8716","OR18957","up1111101111","0","0","","0","Enjoy10",""
"8716","OR18957","PP031655513034","0","0","","0","Enjoy10",""
"8716","OR18957","UP537079382413932","0","0","","0","Enjoy10",""
"8716","OR18957","GIFT-UP608940547632","0","0","","0","Enjoy10",""
"8716","OR18957","UP737052925172","0","0","","0","Enjoy10",""
"8716","OR18961","PP3508441106314","0","0","","0","",""
"8716","OR18972","UP31477581551120","0","0","","1","FirstAroma",""
"8716","OR18977","Up3439602882382","0","0","","1","FirstAroma",""
"8716","OR18982","UP614514204023","0","0","","0","FirstAroma",""
"8716","OR18990","UP819029012525","0","0","","1","",""
"8716","OR18990","UP819029014826","0","0","","1","",""
"8716","OR19017","UP5607538","0","0","","0","",""
"8716","OR19029","UP3365440328761","0","0","","1","FirstAroma",""
"8716","OR19095","Up8411061782484","0","0","","0","FirstAroma",""
"8716","OR21716","Up3607342401501","0","0","","1","FirstAroma",""
"8716","OR21732","Up3508441106338","0","0","","0","Holiday17",""
"8716","OR21743","UP701666312055","0","0","","0","Holiday17",""
"8716","OR21743","UP3349666007914","0","0","","0","Holiday17",""
"8716","OR21762","UP035017008923","0","0","","1","",""
"8716","OR21805","up5060103310029","0","0","","1","FirstAroma",""
"8716","OR21810","UP3145891267402","0","0","","0","FirstAroma",""
"8716","OR21811","UP3386460052290","0","0","","1","FirstAroma",""
"8716","OR21811","Up8436038831729","0","0","","1","FirstAroma",""
"8716","OR21812","Up6085010044712","0","0","","0","",""
"8716","OR21814","UP6085010094663","0","0","","1","FirstAroma",""
"8716","OR21815","UP022548355558","0","0","","1","FirstAroma",""
"8716","OR21822","UP8411061840450","0","0","","1","FirstAroma",""
"8716","OR21832","Up3348901300049","0","0","","1","FirstAroma",""
"8716","OR21832","PP3145891135305","0","0","","1","FirstAroma",""
"8716","OR21850","UP8427395980250","0","0","","1","FirstAroma",""
"8716","OR21868","UP3607342159709","0","0","","1","",""
"8716","OR21886","UP819029016356","0","0","","1","FirstAroma",""
"8716","OR21895","UP3348901293846","0","0","","0","Holiday17",""
"8716","OR21895","UP608940535387","0","0","","0","Holiday17",""
"8716","OR21895","Up5045493329011","0","0","","0","Holiday17",""
"8716","OR21915","UP6085010093987","0","0","","0","",""
"8716","OR21915","UP6085010094144","0","0","","0","",""
"8716","OR21929","UP719346186551","0","0","","1","",""
"8716","OR21943","UP3508441001084","0","0","","1","Holiday17",""
"8716","OR21945","UP3252550205900","0","0","","1","",""
"8716","OR21947","UP022548341056","0","0","","1","FirstAroma",""
"8716","OR21955","UP3386460055444","0","0","","0","",""
"8716","OR21959","UP871854251814","0","0","","0","FirstAroma",""
"8716","OR21969","Up6085010044965","0","0","","1","FirstAroma",""
"8716","OR21969","UP614514204023","0","0","","1","FirstAroma",""
